SDSS_NAME,RA,DEC,CLASS,SUBCLASS,logR1,logR_ratio,BAL_PROB
095922.01+344557.2,149.84178280000003,34.76588144,core,u,2.2729649176011013,,0.0
091907.54+212554.1,139.7814606,21.43169928,core,r,2.9013784421595497,,-1.0
093943.57+353042.2,144.93151890000001,35.51169029,core,u,1.9622364171275564,,-1.0
165506.84+312520.4,253.7785509,31.42235699,core,u,2.131120767235048,,0.9
124958.19+104130.8,192.4925886,10.69189446,core,u,2.11677709643059,,0.9
165233.20+401358.3,253.1385076,40.23280242,double,c,3.102665799683078,1.6040494556508071,-1.0
122039.35+171820.7,185.1640688,17.30580569,core,u,2.318454082535139,,-1.0
093945.40+034454.9,144.9394009,3.748705357,core,u,1.853033855312158,,-1.0
100311.12+045939.0,150.7964111,4.994291523999999,jet,,1.5446555377382836,,0.0
135847.03+183347.9,209.6960866,18.56334938,core,u,2.9276447542851605,,-1.0
153021.25+431202.3,232.588654,43.20082356,jet,,2.7582870930207286,,0.0
151112.73+163040.6,227.8030683,16.51133687,core,u,2.0235649759815457,,-1.0
123843.19+465120.4,189.680026,46.85569876,core,u,1.443937436188645,,0.9
100427.69+032457.6,151.11546289999998,3.4159110060000004,core,u,1.1376631922644436,,0.9
011415.45+070437.7,18.56445075,7.077127829,core,u,2.349753871170773,,0.0
111319.57+632411.7,168.3315967,63.40321173,double,c,1.4991417161343832,0.11363566230095784,-1.0
025448.28-033656.6,43.70114174,-3.615633208,core,u,2.2480629518009225,,-1.0
074743.65+500027.6,116.9320463,50.00763982,double,c,1.7374808224965892,0.034462196529478434,0.0
140459.02+161345.2,211.246075,16.22926884,core,r,2.6569199613390184,,0.0
091833.39+565116.9,139.6393517,56.85474737,core,u,2.127443111323133,,0.9
123258.98+005050.3,188.2459731,0.847338914,core,u,1.960839464207196,,-1.0
111046.35+440325.9,167.6930833,44.05723024,core,u,3.436288171973911,,0.0
073845.62+433005.7,114.69000940000001,43.50150897,core,r,2.509005262299384,,-1.0
142824.76+291606.7,217.10322180000003,29.26857978,core,u,2.185393957427311,,-1.0
100935.67+572836.0,152.3990603,57.47672488,core,r,3.0383064316360997,,-1.0
160341.78+284914.5,240.92408030000004,28.82077209,core,u,2.1361163248427593,,0.0
090601.15-010411.4,136.504773,-1.069941663,core,u,2.0975187992569886,,0.0
171920.13+411710.1,259.8337254,41.28609614,core,r,3.4755903913889186,,0.0
081537.32+515755.8,123.9051913,51.96532571,double,c,2.527618763022562,0.5483467623604567,-1.0
084932.55+313313.5,132.38567709999998,31.55371519,double,c,1.9135749912322864,-0.3110708505855743,0.0
094004.61-004009.8,145.0192185,-0.669419423,jet,,2.179018273854152,,-1.0
231959.35-011849.9,349.9971623,-1.3139944609999998,core,r,1.822138076343181,,-1.0
134113.93-005315.0,205.3080042,-0.8874416759999999,core,u,0.8925589108687291,,-1.0
142038.37+151516.1,215.15992369999998,15.25449497,double,c,2.2033442901551057,0.2167590667460343,0.9
000444.70+104713.4,1.186433314,10.78714144,core,r,1.6746061508326036,,0.0
115843.32+570536.5,179.6805571,57.09347272,core,u,1.8161067920451088,,-1.0
132812.95+173103.2,202.0539108,17.5175757,core,u,1.718761572688021,,1.0
140618.83+075749.7,211.57850040000002,7.963894703999999,core,u,1.4269382947112503,,-1.0
145858.56+544233.4,224.74407250000002,54.70929957,core,u,2.25265702124736,,-1.0
092430.03+542846.2,141.1247949,54.47983595,core,r,2.5910836167143216,,-1.0
102127.73+414739.9,155.3654661,41.79451834,core,r,2.821899064745074,,0.9
101111.61+191916.8,152.7983395,19.32135353,core,u,2.802381845707566,,0.0
105125.83+494147.2,162.8579241,49.69639493,core,r,2.468137180198718,,0.0
142056.39+261559.3,215.2350011,26.26647429,core,u,2.2713558364193416,,0.0
151144.48+504408.2,227.9353418,50.73572432,core,u,3.0105363539860166,,0.9
145223.14+535136.0,223.0965625,53.860068000000005,core,u,2.2575117121641965,,-1.0
084900.85+560350.1,132.2535813,56.06390708,core,u,3.4714291227602962,,0.0
131520.01+604201.0,198.83387280000002,60.70045806,core,r,1.1948832950678312,,-1.0
135351.58+015153.9,208.4649586,1.8648027930000002,jet,,2.9441389517984082,,0.0
012947.14+101054.1,22.44667905,10.18149747,core,r,3.4254295393778422,,0.0
170630.96+314808.3,256.6290621,31.80230334,core,u,1.7417534955746987,,0.9
115847.39+271342.5,179.6974413,27.22848082,core,u,1.63812803402612,,-1.0
113719.63+150856.5,174.33175400000002,15.14899758,core,u,2.527725169393721,,0.0
142124.63+353337.2,215.3526716,35.56038612,core,r,2.0211401275488683,,-1.0
155239.42+385629.8,238.1643287,38.94165761,core,u,1.9265851423000528,,-1.0
103626.75+272310.1,159.1115517,27.38608061,core,u,2.185616859939548,,0.0
125911.86+205738.0,194.799403,20.96060576,core,u,2.27041587147028,,-1.0
144048.56+363535.5,220.20239280000004,36.59320976,core,u,2.804424549876019,,0.0
120655.19+243927.9,181.729959,24.65785034,core,u,1.5835949469501684,,-1.0
163302.10+392427.4,248.2587336,39.40767117,triple,c,1.4861285850657748,0.2974377898919543,-1.0
091742.21+580722.7,139.4259493,58.12294274,core,u,2.197302472674917,,0.0
082340.44+285256.7,125.91855349999999,28.88239064,core,r,1.963534463162789,,-1.0
155610.65+381302.6,239.0437155,38.21745607,double,c,2.3910067535819137,0.05871686787765401,-1.0
004940.26+064817.9,12.4177458,6.80498876,core,u,2.1433683143811733,,-1.0
140912.05+275203.1,212.3003147,27.86754235,core,u,2.0239595782830357,,0.0
073049.98+281246.3,112.70833929999999,28.21289379,core,u,1.6836587314677147,,0.0
165714.97+364458.9,254.312419,36.74972355,core,u,1.588858938542336,,0.0
120321.26+422714.6,180.83861930000003,42.45416777,double,c,1.8095642203570463,-0.6649247817423665,0.9
160053.61+024500.2,240.22339849999997,2.750036077,core,u,0.9989861250654328,,-1.0
092432.82+374213.3,141.13669309999997,37.70370631,core,u,1.7963344971001702,,-1.0
095349.89+230740.8,148.457727,23.12819703,jet,,2.4340101356974784,,-1.0
155349.35+361140.4,238.4557045,36.19453162,core,u,2.244993667305876,,0.5
014054.48+074333.7,25.22703732,7.726191315,triple,l,1.6724875104511212,-1.4000789731241283,0.0
084039.86+255753.3,130.1661389,25.96487704,core,r,1.537311023677924,,-1.0
134328.73+572147.1,205.869678,57.36302273,core,u,1.7097443086125552,,0.0
143739.50+311900.9,219.4145988,31.31710719,triple,c,2.2398410024390474,,-1.0
134041.98+300834.8,205.17495209999998,30.14303866,core,u,3.2546218639822118,,0.9
093522.08+502932.2,143.84206269999999,50.49232712,core,u,2.2092335908965763,,0.0
145627.72+414944.2,224.11554480000004,41.82900738,core,u,1.886162026381756,,0.0
141204.71+282237.7,213.0196156,28.37714447,double,c,2.75258772369349,-0.421772710658105,0.0
111757.25+535554.9,169.4885761,53.93187037,core,u,1.0504843091618978,,0.0
081731.12+233521.4,124.37972549999999,23.58929115,double,c,2.379495840898888,0.9214672316381602,-1.0
154515.54+390727.2,236.3146315,39.12460423,core,r,1.911516807348052,,0.0
140619.92+241020.8,211.5830219,24.17242196,core,u,1.4438948986434468,,-1.0
212026.73+044807.6,320.11143230000005,4.802147204,core,u,2.7962343624541903,,0.0
113754.46+502336.1,174.47686819999998,50.39332353,jet,,1.7133932082688546,,-1.0
090240.28+465334.4,135.6680885,46.89268082,core,r,1.7239166719018784,,0.0
141832.34+225209.0,214.6347095,22.86873351,double,l,1.3107025776073769,-1.2408146464404224,0.0
090541.76+284928.2,136.4239855,28.82450479,core,u,2.9485445316395085,,-1.0
083548.17+341152.6,128.95065209999999,34.19798878,core,u,1.9396668146848937,,-1.0
093014.40+445726.4,142.559845,44.95722378,core,r,3.489006073852264,,-1.0
143509.49+313147.8,218.78967749999998,31.53008274,core,r,2.3786944341451006,,-1.0
131547.63+574355.2,198.9483604,57.73207834,core,u,2.20711439892613,,1.0
083019.91+402644.4,127.5829613,40.44567551,core,u,2.133841699418633,,-1.0
144320.73+173727.2,220.8363983,17.624249600000002,core,u,1.7311164137188384,,0.9
023217.91+033110.6,38.07466755,3.519769368,core,u,2.2091167783205266,,0.0
074938.86+195418.4,117.4119354,19.90507516,core,u,2.6338334618509482,,-1.0
080856.65+405244.8,122.2360297,40.87914322,core,u,3.4293539574038947,,-1.0
081639.56+524430.1,124.16484779999999,52.74167575,core,u,1.7857869993167257,,-1.0
155203.48+132742.3,238.0145153,13.46181364,core,u,2.96467428715185,,0.0
011832.22+090519.1,19.63417961,9.088727823,core,u,1.4704976993464882,,0.0
214138.54+000319.2,325.41062089999997,0.055422223,core,u,2.5159067707071827,,-1.0
163156.82+164722.6,247.9867691,16.78966366,core,u,1.3873660958693994,,0.0
153607.55+162800.9,234.03151780000002,16.46712847,double,c,3.2924666468652264,1.2151637773290354,0.9
145922.15+152654.7,224.84226329999998,15.44851333,core,u,2.5118600853396686,,-1.0
110011.46+044401.5,165.0479833,4.733661324,core,u,3.4749822146401232,,-1.0
165508.72+373244.5,253.78635099999997,37.54576843,core,u,1.5539944014901976,,0.0
125737.33+372944.6,194.4057246,37.49575437,core,r,2.7559523489284232,,0.0
152621.03+154316.3,231.5876352,15.72127181,core,u,2.118105805035944,,0.0
123259.81+513404.5,188.24900569999997,51.56796238,core,r,1.7989980017388931,,-1.0
083431.61+240146.2,128.6317095,24.02941659,triple,l,1.5480126797855618,-0.3238747021503433,-1.0
073051.33+404950.8,112.71390590000001,40.83074791,core,u,2.9984633849578386,,0.0
151902.01+162235.7,229.7583329,16.37649186,double,c,2.57721992194852,,-1.0
150955.27+545413.9,227.4803829,54.90375847,core,r,2.750447915442811,,0.0
222749.05+122729.1,336.9544909,12.45847507,core,r,2.3823182912211367,,0.0
134006.89+171807.4,205.0288544,17.30200639,core,u,2.058189822382167,,0.0
110021.03+162914.6,165.087653,16.48736119,core,u,2.8945193986769326,,-1.0
111124.19+551413.6,167.8506284,55.23698291,core,r,2.1739383689941434,,-1.0
101946.98+494848.6,154.94586030000002,49.81347462,core,u,0.9596050340345684,,0.0
214141.15-020810.0,325.421375,-2.136408254,core,r,1.1509334953712922,,-1.0
141446.64+392818.6,213.69439730000002,39.471909100000005,core,u,1.94541596868784,,-1.0
140206.94+460429.5,210.5293833,46.07482031,core,u,2.659544791866065,,0.9
022556.50-074307.2,36.48539864,-7.718705427000001,core,u,1.6806894095464613,,0.0
154506.77+160644.3,236.27833590000003,16.11228648,core,u,1.663280322427127,,0.0
