,RA,DEC,CLASS,SUBCLASS,logR_ratio,logR1,BAL_bool
304,169.8497155,27.98001166,core,u,,1.869395941232689,NO_BAL
305,141.4580398,17.13246061,core,u,,1.5759961518443117,
306,169.9057094,25.09284972,core,r,,2.207626836366088,
307,142.9126925,32.06667947,core,u,,1.2620251226102042,
308,236.89380419999998,28.33105265,core,u,,1.9432366727471917,
309,9.881629116000001,-11.18414448,core,u,,3.0970672597514266,
310,204.24391540000002,10.13560287,core,r,,0.5089375188905251,
311,155.7097213,36.26378291,double,c,,0.7463054386069843,
312,136.9445142,1.774533306,core,u,,1.5879358700519162,
313,160.31923840000002,41.64972858,core,u,,3.1396671840792347,NO_BAL
314,219.3910756,38.99541461,core,u,,0.9483227473907532,NO_BAL
315,148.1133625,22.66837845,triple,l,-1.42458,1.4113951996711804,
316,166.5339865,59.4330345,core,u,,0.64838631934376,
317,176.2815544,48.18110722,core,u,,1.4506797533532307,NO_BAL
318,133.8710111,46.20955945,core,r,,1.9862013035472157,BAL
319,210.48333419999997,25.92783864,core,u,,2.7567529523722203,NO_BAL
320,207.0649884,7.001105689,core,u,,1.9053641029513684,NO_BAL
321,30.416557,-3.5808694660000002,triple,c,,1.9246220166015804,
322,215.80911949999998,50.92711647,core,r,,2.324623412299806,
323,203.2231299,41.89301309,core,u,,3.1193294158454754,
324,203.5868239,48.8819461,core,u,,1.9395730074557007,NO_BAL
325,236.5897378,2.017419528,core,u,,0.7297602031684747,BAL
326,0.131320832,-8.695769111,core,u,,1.4483311872817497,NO_BAL
327,15.86967474,-11.07072492,core,u,,1.8647167399993123,NO_BAL
328,214.2442685,13.26761941,core,u,,1.6930581821881674,
329,22.6151542,8.712797626,core,u,,3.4898636516334616,
330,221.67617009999998,1.217488904,core,u,,1.9985474592255768,
331,148.9080687,33.58443629999999,core,u,,1.4288174434819578,BAL
332,176.3724915,57.36152691,core,r,,1.8298723764207423,
333,120.3831223,47.60448216,core,u,,1.2906261159673904,
334,352.22116239999997,2.297944362,core,u,,1.7438900884385915,NO_BAL
335,318.19235739999993,-3.384336109,core,r,,2.0903247098708837,
336,176.8389388,10.01082471,core,u,,3.2339837202072967,NO_BAL
337,221.30977140000002,61.37679705,core,u,,1.5411893715933744,BAL
338,193.3941189,48.83164517,core,r,,0.8597379230282982,
339,197.2024958,28.32855621,core,u,,1.2043206633630263,BAL
340,123.5869318,21.91611678,core,u,,1.8667950194672056,BAL
341,21.56133285,11.24357737,core,u,,1.7579577040505128,
342,358.3759042,-0.070377776,core,u,,3.0666766313739258,NO_BAL
343,235.80989419999997,41.87431203,core,u,,1.3835352404159338,
344,136.5031611,56.69773839,core,u,,2.074162820676458,NO_BAL
345,195.37145869999998,33.61678408,core,u,,2.7573644012483824,
346,151.4676001,37.79624172,core,u,,2.10472039497258,NO_BAL
347,202.8048901,19.91686748,core,u,,2.3747886035837924,BAL
348,119.4085226,26.00139807,core,r,,1.275335253282364,NO_BAL
349,19.58237945,10.48475873,core,u,,2.42096361126177,NO_BAL
350,255.0565818,32.43068758,core,r,,3.0304081807851064,NO_BAL
351,358.1679542,-4.58329727,core,u,,2.29218159600392,BAL
352,323.0445443,-0.005605555999999999,core,u,,1.1107734027149605,NO_BAL
353,221.68050040000003,27.95017227,core,u,,4.3301452821995285,
354,126.51525249999999,52.79464045,core,r,,3.3379794239898217,
355,337.67832020000003,3.020208265,core,u,,2.270076797142605,
356,156.6151722,51.68733019,core,u,,1.4729958510093255,BAL
357,115.450428,28.64255879,core,u,,2.2580638000731366,
358,23.64865403,-9.517483556,core,u,,3.8136093895932617,NO_BAL
359,212.115927,24.15677571,core,u,,0.3086219191541346,
360,203.17055109999998,6.6101332820000005,core,u,,1.9101537665645023,NO_BAL
361,318.1961516,-1.5681360880000002,core,r,,3.6584559337036477,
362,140.4183211,53.34372619,core,u,,2.6050525111721985,NO_BAL
363,125.8069072,17.85431427,core,u,,1.9373548315896567,NO_BAL
364,134.985575,38.04315988,core,u,,2.259324422028358,
365,200.1033864,-3.082152745,core,u,,2.7316480331845296,
366,220.936365,42.55776808,jet,,,2.0214241355472296,
367,199.88621369999998,7.299435973,core,r,,2.081256478198398,NO_BAL
368,185.8115434,34.91948898,core,u,,2.693842599854942,BAL
369,217.5418156,57.66862588,core,r,,1.3210480455348474,
370,198.0195503,36.38835873,core,u,,2.9770933631578678,NO_BAL
371,210.6537474,43.60926545,core,u,,2.275815270720064,
372,184.31200269999997,48.97204995,core,r,,3.0521191817069546,
373,191.5659095,47.51109298,core,u,,1.4770198966410375,NO_BAL
374,152.88584790000002,40.02266482,core,u,,2.0152248026378787,
375,118.0806519,27.74805502,core,u,,1.8078688524719224,NO_BAL
376,121.07900929999998,37.28669936,core,u,,2.483045189543569,NO_BAL
377,184.4786593,13.98263862,jet,,,1.9416153927881623,BAL
378,249.8501608,11.59669474,core,u,,1.198029004840052,BAL
379,131.172977,8.516722532000001,triple,l,-0.90375,1.4445031903127157,
380,189.4817456,2.5489971430000002,core,u,,2.432005058061809,NO_BAL
381,160.9254177,5.994524917000001,core,u,,1.7049072421226783,BAL
382,5.341875155,-1.649222173,core,u,,2.192171995804669,
383,221.31867799999998,9.976747184,core,u,,3.4413140530698567,NO_BAL
384,354.4085625,0.16666388599999998,core,u,,2.353403693782857,
385,233.5679256,56.86970207,core,u,,2.591000580801764,NO_BAL
386,244.5540116,33.03223941,core,u,,0.9592194217945632,BAL
387,168.81364409999998,55.97032666,core,u,,1.7897560916443709,NO_BAL
388,200.4256074,36.86424874,core,u,,2.28079897004898,NO_BAL
389,200.13841159999998,33.19509844,core,u,,1.6436427827569915,
390,236.1991193,24.39072164,core,u,,1.8651292744307923,BAL
391,248.48117919999999,31.35245001,core,r,,2.7101315965631603,
392,237.1750851,9.225805451,core,u,,1.3071761011982688,
393,132.2363692,8.024422133,triple,l,-0.90274,2.0584952224631716,
394,186.77380780000001,63.25924499999999,core,u,,1.5362263884936085,NO_BAL
395,164.60165769999998,60.01913986,core,u,,2.7418572515094013,NO_BAL
396,145.4505586,27.47745488,core,u,,2.7719764342106967,
397,185.365573,1.880102844,jet,,,1.9202753458247896,
398,219.0440747,37.03049213,core,u,,1.763287441829667,NO_BAL
399,176.55265830000002,6.280411022000001,double,l,-1.42967,1.50749735164613,NO_BAL
400,249.69761540000002,20.12643305,core,u,,1.9511922820291216,NO_BAL
401,143.46164850000002,14.27633078,core,r,,2.008504068088709,NO_BAL
402,120.38961100000002,14.24518341,core,r,,4.144938971631176,
403,171.68706369999998,-2.202330465,core,u,,1.977215704718367,BAL
404,235.1790989,41.63795333,core,u,,1.1249370574281556,NO_BAL
405,3.200875093,-1.4924833119999998,core,u,,2.0684306875849168,NO_BAL
406,173.92105469999998,45.67842687,core,r,,2.1831479709033657,NO_BAL
407,18.59407157,7.817242005,core,r,,2.425730389004828,
408,138.010174,61.02568435,core,u,,1.9443326340228029,
409,200.22396659999998,2.6808360159999998,core,r,,1.6933979773675163,NO_BAL
410,245.33139640000002,50.16025698,triple,l,-0.88679,1.8166065108954497,
411,149.3147108,32.599021,core,r,,2.035176734736575,
412,182.905175,59.10538349,core,u,,2.129756215843089,BAL
413,172.4570583,20.03625577,core,u,,1.357815179190922,BAL
414,153.2595275,35.43485407,core,u,,2.390993007114088,NO_BAL
415,196.7990092,12.17207756,core,u,,1.8424494169560437,NO_BAL
416,146.1330311,5.78584172,core,u,,2.1906363370944857,BAL
417,130.8128212,21.09003614,core,u,,2.080949398890431,
418,189.6469132,23.72535193,core,u,,2.270169751398079,BAL
419,238.82844159999996,47.49943726,core,u,,3.5406477907514686,
420,148.0915332,42.28746676,core,u,,2.566245083393932,NO_BAL
421,136.6282355,8.476955463,core,r,,2.862230466677953,NO_BAL
422,210.49874309999998,20.85496152,core,u,,2.7208024025389945,NO_BAL
423,251.82208419999998,45.85242935,core,u,,2.8146375226873603,NO_BAL
